iter	Passed	Remaining
0	0	50
1	0	47
2	1	44
3	1	40
4	2	40
5	2	40
6	3	41
7	3	40
8	3	40
9	4	39
10	4	39
11	5	39
12	5	38
13	6	37
14	6	37
15	7	36
16	7	36
17	7	36
18	8	35
19	8	35
20	9	35
21	9	34
22	10	33
23	10	33
24	10	32
25	11	32
26	11	31
27	12	31
28	12	31
29	13	30
30	13	30
31	14	30
32	14	29
33	15	29
34	15	29
35	16	29
36	16	28
37	17	28
38	17	27
39	18	27
40	18	27
41	18	26
42	19	25
43	19	25
44	20	25
45	20	24
46	21	24
47	21	23
48	22	23
49	22	22
50	23	22
51	23	22
52	24	21
53	24	21
54	25	20
55	25	20
56	26	19
57	26	19
58	27	18
59	27	18
60	27	17
61	28	17
62	28	16
63	29	16
64	29	16
65	30	15
66	30	15
67	31	14
68	32	14
69	32	13
70	33	13
71	33	13
72	34	12
73	34	12
74	35	11
75	35	11
76	36	10
77	36	10
78	36	9
79	38	9
80	38	9
81	39	8
82	39	8
83	40	7
84	40	7
85	41	6
86	41	6
87	42	5
88	42	5
89	43	4
90	43	4
91	44	3
92	44	3
93	45	2
94	45	2
95	45	1
96	46	1
97	46	0
98	47	0
99	47	0
