iter	Passed	Remaining
0	0	654
1	1	707
2	1	623
3	2	616
4	3	618
5	3	626
6	4	624
7	5	623
8	5	613
9	6	603
10	6	596
11	7	599
12	7	599
13	8	598
14	9	594
15	9	588
16	10	580
17	10	581
18	11	583
19	11	587
20	12	588
21	13	602
22	14	606
23	14	601
24	15	608
25	16	610
26	16	604
27	17	601
28	17	599
29	18	602
30	19	596
31	19	599
32	20	598
33	21	598
34	21	600
35	22	598
36	22	596
37	23	592
38	24	593
39	24	590
40	25	588
41	25	585
42	26	585
43	26	582
44	27	580
45	27	578
46	28	578
47	29	579
48	29	578
49	30	580
50	31	579
51	31	580
52	32	581
53	33	581
54	34	586
55	34	585
56	35	584
57	35	584
58	36	581
59	37	583
60	37	580
61	38	579
62	38	575
63	39	574
64	39	573
65	40	571
66	40	570
67	41	570
68	42	569
69	42	568
70	43	566
71	43	565
72	44	563
73	44	561
74	45	566
75	46	566
76	47	565
77	47	564
78	48	564
79	49	564
80	49	562
81	50	562
82	50	558
83	51	557
84	51	556
85	52	554
86	52	553
87	53	553
88	54	553
89	54	552
90	55	551
91	55	550
92	56	550
93	57	550
94	57	550
95	59	556
96	59	555
97	60	555
98	60	555
99	61	555
100	62	555
101	63	555
102	63	555
103	64	555
104	64	553
105	65	553
106	66	553
107	66	551
108	67	551
109	67	549
110	68	548
111	68	546
112	69	545
113	70	544
114	70	544
115	71	543
116	71	543
117	72	542
118	73	541
119	73	540
120	74	539
121	74	539
122	75	537
123	75	536
124	76	535
125	78	541
126	78	541
127	79	539
128	79	539
129	80	539
130	81	538
131	81	537
132	82	536
133	83	536
134	83	535
135	84	534
136	84	533
137	85	532
138	85	531
139	86	531
140	86	529
141	87	526
142	87	525
143	88	523
144	88	522
145	89	521
146	90	525
147	91	524
148	91	524
149	92	524
150	93	523
151	93	523
152	94	523
153	95	522
154	95	521
155	96	520
156	96	519
157	97	518
158	97	517
159	98	515
160	98	514
161	99	514
162	99	513
163	100	512
164	101	512
165	101	512
166	102	511
167	103	511
168	103	511
169	105	517
170	106	516
171	106	514
172	107	514
173	108	512
174	108	512
175	109	513
176	110	512
177	110	512
178	111	511
179	112	510
180	112	510
181	113	509
182	114	509
183	114	508
184	115	506
185	115	505
186	116	505
187	116	504
188	117	503
189	118	503
190	119	505
191	119	504
192	120	504
193	130	540
194	142	588
195	143	588
196	160	654
197	162	659
198	163	658
199	164	657
200	176	701
201	176	699
202	181	711
203	182	710
204	182	709
205	183	708
206	186	714
207	190	724
208	191	724
209	192	723
210	196	733
211	197	732
212	202	748
213	203	747
214	204	746
215	205	746
216	206	744
217	207	742
218	207	741
219	211	749
220	212	749
221	213	747
222	214	746
223	215	745
224	215	743
225	216	742
226	217	740
227	218	739
228	219	738
229	220	736
230	220	734
231	221	732
232	221	729
233	222	727
234	222	725
235	223	723
236	223	720
237	226	724
238	227	722
239	227	720
240	228	718
241	228	715
242	237	740
243	238	738
244	238	735
245	239	733
246	239	731
247	240	728
248	240	726
249	241	724
250	241	722
251	242	719
252	244	720
253	244	718
254	245	716
255	250	726
256	251	726
257	252	724
258	253	724
259	253	722
260	254	721
261	255	720
262	256	719
263	258	719
264	259	718
265	260	717
266	261	716
267	262	716
268	263	714
269	264	713
270	265	712
271	265	711
272	266	710
273	267	709
274	268	708
275	269	707
276	270	706
277	271	705
278	272	704
279	273	704
280	274	703
281	275	702
282	276	701
283	277	700
284	278	699
285	279	698
286	280	697
287	281	696
288	282	695
289	283	693
290	284	692
291	285	691
292	286	690
293	287	689
294	288	688
295	289	687
296	290	686
297	291	686
298	292	685
299	292	683
300	293	682
301	294	681
302	295	680
303	296	679
304	297	678
305	298	677
306	299	675
307	300	675
308	301	673
309	302	673
310	303	672
311	304	671
312	305	670
313	306	669
314	307	668
315	308	667
316	309	667
317	310	666
318	311	665
319	312	664
320	313	663
321	314	661
322	315	660
323	316	659
324	317	658
325	318	657
326	319	656
327	320	655
328	320	654
329	321	653
330	323	652
331	323	651
332	324	650
333	325	649
334	326	648
335	327	647
336	328	646
337	329	645
338	330	643
339	330	642
340	331	641
341	332	639
342	333	638
343	334	637
344	335	636
345	335	634
346	336	633
347	337	632
348	338	631
349	339	630
350	342	632
351	343	631
352	343	630
353	344	629
354	345	627
355	346	626
356	347	625
357	347	623
358	348	622
359	349	621
360	350	620
361	351	619
362	352	618
363	353	616
364	353	615
365	354	614
366	355	613
367	356	611
368	357	610
369	357	609
370	358	608
371	359	607
372	360	605
373	361	604
374	362	603
375	362	602
376	363	600
377	364	599
378	364	597
379	365	596
380	366	595
381	367	594
382	368	593
383	368	591
384	369	590
385	370	589
386	371	588
387	372	587
388	372	585
389	373	584
390	374	583
391	375	582
392	376	581
393	377	580
394	377	578
395	378	577
396	379	576
397	380	575
398	381	574
399	381	572
400	382	571
401	383	570
402	384	569
403	384	567
404	386	567
405	386	566
406	387	564
407	388	563
408	389	562
409	390	561
